Saya pernah menulis artikel ilmiah atau laporan penelitian.  ,"Saya pernah mengikuti seminar, konferensi, atau lomba karya tulis ilmiah. ",Saya mampu mencari jurnal atau artikel yang relevan dengan topik penelitian. ,"Saya memahami cara menggunakan Google Scholar atau database akademik (Scopus, IEEE, dll).  ","Saya bisa menggunakan software analisis data (SPSS, R, Python, NVivo, dll).  ",Saya pernah melakukan analisis data sederhana (misalnya statistik deskriptif atau coding kualitatif).  ,Saya bisa menulis laporan penelitian dengan gaya akademik yang baik.  ,Saya memahami metodologi penelitian (kualitatif/kuantitatif).  ,Saya percaya diri untuk memulai penelitian atau skripsi.  ,Saya merasa mampu menyelesaikan skripsi tepat waktu sesuai target.  ,Saya membutuhkan pelatihan tambahan di bidang metodologi penelitian.  ,Saya membutuhkan pelatihan tambahan di bidang penulisan akademik.  ,Saya membutuhkan pelatihan tambahan di bidang analisis data.  ,Saya terbiasa berdiskusi dengan dosen/teman tentang ide penelitian.  ,Saya terbiasa membaca jurnal/artikel ilmiah minimal 1 kali seminggu.  
0.5,0.5,0.6666666666666666,1.0,0.75,0.75,0.6666666666666666,0.6666666666666666,0.75,0.75,1.0,1.0,0.6666666666666666,0.75,0.75
0.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.75,0.6666666666666666,0.0,0.0,0.75,0.6666666666666666,0.75,0.6666666666666666,0.25,0.0
0.75,0.75,0.6666666666666666,0.3333333333333333,0.5,0.5,0.3333333333333333,0.6666666666666666,0.75,0.5,0.6666666666666666,0.75,0.3333333333333333,0.25,0.25
1.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.6666666666666666,0.75,1.0,1.0,1.0,0.3333333333333333,1.0,0.0
0.5,0.75,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,0.6666666666666666,0.25,0.75,1.0,1.0,0.6666666666666666,0.75,0.25
0.5,0.25,0.3333333333333333,0.3333333333333333,0.25,0.25,0.3333333333333333,0.3333333333333333,0.25,0.5,1.0,1.0,1.0,0.25,0.0
0.75,0.25,0.6666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333,0.0,0.25,0.5,0.3333333333333333,0.5,0.6666666666666666,0.5,0.75
0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.75,0.75,0.6666666666666666,0.75,1.0,1.0,0.75
0.75,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.75,0.5
0.75,0.75,0.6666666666666666,0.6666666666666666,0.75,0.75,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.75,0.25
0.75,0.5,0.6666666666666666,0.6666666666666666,0.75,1.0,0.6666666666666666,0.6666666666666666,0.25,0.75,0.6666666666666666,0.25,1.0,0.75,0.25
0.5,0.5,0.3333333333333333,0.6666666666666666,0.25,0.0,0.0,1.0,0.75,0.5,1.0,1.0,1.0,0.5,0.0
1.0,0.25,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,0.75,0.75,1.0,0.5,0.6666666666666666,1.0,0.25
1.0,0.75,0.6666666666666666,1.0,0.75,0.75,1.0,1.0,0.75,1.0,0.3333333333333333,0.25,0.6666666666666666,1.0,0.25
0.75,0.0,0.3333333333333333,0.3333333333333333,0.5,0.75,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,1.0,1.0,0.5,0.0
1.0,0.0,0.3333333333333333,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,0.25,0.25,0.3333333333333333,0.75,0.0,0.75,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.25,0.5,1.0,1.0,1.0,0.5,0.0
0.75,0.0,0.6666666666666666,0.6666666666666666,0.75,0.75,0.6666666666666666,0.6666666666666666,0.75,0.75,1.0,1.0,1.0,1.0,1.0
0.5,0.5,0.3333333333333333,0.3333333333333333,0.25,0.25,0.3333333333333333,0.3333333333333333,0.25,0.5,0.6666666666666666,0.5,0.3333333333333333,0.5,0.25
0.75,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,1.0,0.75,1.0,0.75,0.25
0.75,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,0.6666666666666666,0.75,0.75,0.3333333333333333,0.25,0.6666666666666666,0.25,0.25
0.25,0.5,0.6666666666666666,0.6666666666666666,0.75,1.0,0.0,0.3333333333333333,0.0,0.25,1.0,1.0,1.0,0.5,0.0
1.0,0.75,0.6666666666666666,0.3333333333333333,0.75,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.6666666666666666,0.75,0.3333333333333333,1.0,0.0
0.75,0.75,1.0,0.6666666666666666,0.25,0.75,1.0,0.6666666666666666,0.75,0.75,0.3333333333333333,0.5,0.3333333333333333,0.75,0.25
0.75,0.5,0.3333333333333333,0.3333333333333333,0.75,1.0,0.6666666666666666,0.3333333333333333,0.5,1.0,0.6666666666666666,0.75,0.6666666666666666,0.75,0.0
0.75,0.25,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,0.5,0.6666666666666666,0.75,0.6666666666666666,0.75,0.0
0.75,0.25,0.6666666666666666,1.0,1.0,0.75,0.3333333333333333,0.3333333333333333,0.75,0.75,1.0,1.0,1.0,0.75,0.25
0.25,0.25,0.6666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333,0.0,0.25,0.75,0.3333333333333333,0.75,0.6666666666666666,0.25,0.25
0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.75,1.0,0.6666666666666666,0.75,1.0,0.75,0.5
0.25,0.25,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.6666666666666666,0.75,0.75,1.0,0.75,1.0,1.0,0.0
0.75,0.25,0.6666666666666666,0.6666666666666666,0.75,0.75,0.3333333333333333,0.3333333333333333,0.5,0.75,0.3333333333333333,0.75,0.6666666666666666,0.5,0.5
0.75,0.75,0.6666666666666666,0.6666666666666666,0.5,0.75,0.3333333333333333,0.6666666666666666,0.75,1.0,1.0,1.0,1.0,1.0,0.0
0.25,0.0,0.6666666666666666,0.0,0.25,0.25,0.6666666666666666,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,0.5,0.0
0.5,0.25,0.6666666666666666,0.6666666666666666,0.5,0.25,0.3333333333333333,0.3333333333333333,0.5,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.25
0.75,0.25,0.6666666666666666,1.0,0.25,0.75,0.6666666666666666,0.6666666666666666,0.25,0.75,0.6666666666666666,0.75,0.6666666666666666,0.75,0.75
1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6666666666666666,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75
0.75,0.75,1.0,1.0,0.75,0.5,1.0,0.6666666666666666,0.75,0.75,0.6666666666666666,0.75,1.0,0.75,0.75
1.0,0.75,1.0,1.0,0.75,0.75,1.0,1.0,0.75,0.75,0.6666666666666666,0.75,1.0,0.5,0.75
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.75,1.0,0.75,0.25
0.75,0.75,0.3333333333333333,0.0,0.25,0.25,0.3333333333333333,0.0,0.25,0.75,0.3333333333333333,0.5,0.3333333333333333,0.25,0.25
1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5
0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5
1.0,0.75,1.0,1.0,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.75,1.0,1.0,1.0,1.0,0.25
0.75,0.75,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6666666666666666,0.3333333333333333,0.75,0.5,1.0,1.0,1.0,0.5,0.5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.75,0.5,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.75,0.5
1.0,1.0,1.0,1.0,0.5,0.5,0.6666666666666666,0.3333333333333333,0.75,0.75,1.0,1.0,1.0,1.0,0.0
0.0,0.0,0.6666666666666666,0.6666666666666666,0.75,0.75,0.3333333333333333,0.6666666666666666,0.5,0.75,1.0,1.0,1.0,1.0,0.5
0.75,0.75,0.3333333333333333,0.6666666666666666,0.5,0.25,1.0,0.6666666666666666,0.25,1.0,0.3333333333333333,0.5,0.6666666666666666,0.5,0.25
1.0,1.0,1.0,0.3333333333333333,0.75,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,0.5
0.75,0.5,0.6666666666666666,0.0,0.75,0.75,0.3333333333333333,0.0,0.25,0.75,1.0,1.0,1.0,0.5,0.0
1.0,1.0,0.6666666666666666,0.6666666666666666,0.75,0.75,0.6666666666666666,0.6666666666666666,1.0,1.0,0.3333333333333333,0.5,0.0,0.5,0.25
1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.25,0.3333333333333333,1.0,0.25,0.5,0.6666666666666666,1.0,1.0,0.25,0.25
0.75,0.5,0.6666666666666666,0.6666666666666666,0.75,0.75,0.6666666666666666,0.6666666666666666,0.5,0.75,0.6666666666666666,0.75,0.6666666666666666,0.5,0.25
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.6666666666666666,0.75,0.6666666666666666,1.0,0.75
0.5,0.5,0.3333333333333333,0.6666666666666666,0.5,0.75,0.6666666666666666,0.6666666666666666,0.5,0.25,0.3333333333333333,0.75,0.3333333333333333,0.75,0.25
0.5,0.75,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.75,0.75,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,0.75,0.75,1.0,1.0,1.0,0.25,0.25
1.0,0.75,0.6666666666666666,0.6666666666666666,0.75,0.75,0.6666666666666666,0.6666666666666666,0.75,0.75,1.0,1.0,1.0,0.5,0.25
0.5,0.75,0.3333333333333333,0.3333333333333333,0.75,0.5,0.3333333333333333,0.6666666666666666,0.75,0.5,0.3333333333333333,0.75,0.3333333333333333,0.5,0.25
0.75,0.75,1.0,1.0,0.75,0.75,1.0,0.6666666666666666,0.5,0.75,0.6666666666666666,0.75,0.6666666666666666,0.5,0.5
0.75,0.75,1.0,1.0,0.75,0.75,1.0,1.0,0.75,1.0,0.6666666666666666,0.75,0.6666666666666666,0.5,0.25
0.75,0.75,0.6666666666666666,0.6666666666666666,0.75,0.75,0.6666666666666666,0.6666666666666666,0.75,0.75,0.6666666666666666,0.75,0.6666666666666666,0.75,0.25
0.75,0.5,0.6666666666666666,0.6666666666666666,0.5,0.75,0.6666666666666666,0.3333333333333333,0.5,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.75
0.75,0.75,0.6666666666666666,0.3333333333333333,0.5,0.75,0.6666666666666666,0.3333333333333333,0.5,0.5,0.6666666666666666,0.75,0.6666666666666666,0.5,0.5
0.5,0.0,1.0,1.0,0.5,0.75,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25
0.5,0.25,0.0,0.3333333333333333,0.5,0.75,0.0,0.3333333333333333,0.5,0.75,1.0,0.75,0.6666666666666666,0.5,0.0
0.25,0.25,0.6666666666666666,0.6666666666666666,0.5,0.75,0.3333333333333333,0.3333333333333333,0.25,0.25,0.6666666666666666,0.75,1.0,0.25,0.0
0.75,0.5,1.0,0.6666666666666666,0.5,0.5,0.6666666666666666,0.3333333333333333,1.0,1.0,0.3333333333333333,0.75,0.6666666666666666,0.75,0.25
0.75,0.5,0.3333333333333333,0.6666666666666666,0.5,0.75,0.3333333333333333,0.6666666666666666,0.5,0.75,0.6666666666666666,0.75,0.6666666666666666,0.75,0.25
1.0,0.75,0.6666666666666666,0.3333333333333333,0.75,1.0,0.3333333333333333,0.3333333333333333,0.25,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5
0.75,0.75,0.6666666666666666,0.6666666666666666,0.5,0.75,0.6666666666666666,0.0,0.25,0.5,1.0,1.0,1.0,0.25,0.25
0.5,0.5,0.3333333333333333,0.6666666666666666,0.25,0.5,0.3333333333333333,0.0,0.5,0.5,0.6666666666666666,0.25,0.3333333333333333,0.5,0.5
1.0,1.0,1.0,0.6666666666666666,0.75,1.0,0.6666666666666666,1.0,0.75,1.0,1.0,1.0,1.0,0.5,0.25
1.0,0.5,0.3333333333333333,0.3333333333333333,0.25,0.5,0.0,0.3333333333333333,0.25,0.5,1.0,1.0,1.0,0.0,0.0
1.0,0.75,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.75,0.6666666666666666,0.5,0.6666666666666666,1.0,0.5
0.5,0.0,0.0,0.3333333333333333,0.75,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,1.0,0.6666666666666666,0.5,0.25
1.0,0.0,0.3333333333333333,0.6666666666666666,0.75,0.75,0.0,0.6666666666666666,0.5,0.5,0.6666666666666666,0.75,0.6666666666666666,1.0,0.25
0.75,0.75,0.6666666666666666,0.3333333333333333,0.5,0.75,0.3333333333333333,1.0,0.75,1.0,0.6666666666666666,1.0,1.0,0.75,0.5
0.75,0.75,0.6666666666666666,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,0.0,0.75,1.0,1.0,1.0,1.0,0.25
0.25,0.0,0.0,0.3333333333333333,0.5,0.75,0.3333333333333333,0.0,0.25,0.75,0.6666666666666666,0.75,1.0,1.0,0.75
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.75,0.3333333333333333,1.0,0.25
0.75,0.25,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,0.0,0.5,1.0,1.0,1.0,1.0,0.25,0.25
